state,county,cases
Alabama,Autauga,29391
Alabama,Baldwin,47974
Alabama,Barbour,18518
Alabama,Bibb,10150
Alabama,Blount,12269
Alabama,Bullock,18791
Alabama,Butler,37124
Alabama,Calhoun,22443
Alabama,Chambers,44180
Alabama,Cherokee,5201
Alabama,Chilton,14503
Alabama,Choctaw,12919
Alabama,Clarke,15224
Alabama,Clay,3874
Alabama,Cleburne,2358
Alabama,Coffee,24223
Alabama,Colbert,22102
Alabama,Conecuh,8633
Alabama,Coosa,4264
Alabama,Covington,16484
Alabama,Crenshaw,7667
Alabama,Cullman,23607
Alabama,Dale,15310
Alabama,Dallas,40531
Alabama,DeKalb,36680
Alabama,Elmore,46154
Alabama,Escambia,14954
Alabama,Etowah,39443
Alabama,Fayette,3496
Alabama,Franklin,50970
Alabama,Geneva,4264
Alabama,Greene,10998
Alabama,Hale,17757
Alabama,Henry,8012
Alabama,Houston,27963
Alabama,Jackson,15086
Alabama,Jefferson,274030
Alabama,Lamar,3938
Alabama,Lauderdale,23619
Alabama,Lawrence,6098
Alabama,Lee,78599
Alabama,Limestone,22604
Alabama,Lowndes,25856
Alabama,Macon,10486
Alabama,Madison,77321
Alabama,Marengo,17651
Alabama,Marion,15351
Alabama,Marshall,90901
Alabama,Mobile,249531
Alabama,Monroe,9917
Alabama,Montgomery,207745
Alabama,Morgan,50475
Alabama,Perry,7795
Alabama,Pickens,13087
Alabama,Pike,23692
Alabama,Randolph,13975
Alabama,Russell,27107
Alabama,Shelby,74676
Alabama,St. Clair,21154
Alabama,Sumter,18898
Alabama,Talladega,17375
Alabama,Tallapoosa,42974
Alabama,Tuscaloosa,109362
Alabama,Walker,47096
Alabama,Washington,7829
Alabama,Wilcox,16919
Alabama,Winston,11813
Alaska,Aleutians East Borough,78
Alaska,Aleutians West Census Area,339
Alaska,Anchorage,36114
Alaska,Bethel Census Area,555
Alaska,Bristol Bay Borough,1185
Alaska,Denali Borough,30
Alaska,Dillingham Census Area,564
Alaska,Fairbanks North Star Borough,13083
Alaska,Haines Borough,185
Alaska,Juneau City and Borough,3881
Alaska,Kenai Peninsula Borough,8860
Alaska,Ketchikan Gateway Borough,2362
Alaska,Kodiak Island Borough,383
Alaska,Kusilvak Census Area,37
Alaska,Lake and Peninsula Borough,123
Alaska,Matanuska-Susitna Borough,5443
Alaska,Nome Census Area,516
Alaska,North Slope Borough,169
Alaska,Northwest Arctic Borough,249
Alaska,Petersburg Borough,382
Alaska,Prince of Wales-Hyder Census Area,231
Alaska,Sitka City and Borough,709
Alaska,Southeast Fairbanks Census Area,654
Alaska,Unknown,359
Alaska,Valdez-Cordova Census Area,1153
Alaska,Wrangell City and Borough,249
Alaska,Yukon-Koyukuk Census Area,323
Arizona,Apache,143969
Arizona,Cochise,30395
Arizona,Coconino,125382
Arizona,Gila,12898
Arizona,Graham,6370
Arizona,Greenlee,1099
Arizona,La Paz,15964
Arizona,Maricopa,2527187
Arizona,Mohave,64130
Arizona,Navajo,217587
Arizona,Pima,439775
Arizona,Pinal,190781
Arizona,Santa Cruz,79622
Arizona,Unknown,0
