Row Labels,Sum of cases,,,,,,,,,,,,,
Abbeville,6757,,,,,,,,,,,,,
South Carolina,6757,,,,,,,,,,,,,
Acadia,54456,,,,,,,,,,,,,
Louisiana,54456,,,,,,,,,,,,,
Accomack,71955,,,,,,,,,,,,,
Virginia,71955,,,,,,,,,,,,,
Ada,155404,,,,,,,,,,,,,
Idaho,155404,,,,,,,,,,,,,
Adair,25906,,,,,,,,,,,,,
Iowa,879,,,,,,,,,,,,,
Kentucky,10157,,,,,,,,,,,,,
Missouri,5619,,,,,,,,,,,,,`
Oklahoma,9251,,,,,,,,,,,,,
Adams,402050,,,,,,,,,,,,,
Colorado,309287,,,,,,,,,,,,,
Idaho,585,,,,,,,,,,,,,
Illinois,7055,,,,,,,,,,,,,
Indiana,2419,,,,,,,,,,,,,
Iowa,464,,,,,,,,,,,,,
Mississippi,21081,,,,,,,,,,,,,
Nebraska,24203,,,,,,,,,,,,,
Ohio,1292,,,,,,,,,,,,,
Pennsylvania,24419,,,,,,,,,,,,,
Washington,10017,,,,,,,,,,,,,
Wisconsin,1228,,,,,,,,,,,,,
Addison,6982,,,,,,,,,,,,,
Vermont,6982,,,,,,,,,,,,,
Adjuntas,2622,,,,,,,,,,,,,
Puerto Rico,2622,,,,,,,,,,,,,
Aguada,2224,,,,,,,,,,,,,
Puerto Rico,2224,,,,,,,,,,,,,
Aguadilla,3009,,,,,,,,,,,,,
Puerto Rico,3009,,,,,,,,,,,,,
Aguas Buenas,3680,,,,,,,,,,,,,
Puerto Rico,3680,,,,,,,,,,,,,
Aibonito,2551,,,,,,,,,,,,,
Puerto Rico,2551,,,,,,,,,,,,,
Aiken,27740,,,,,,,,,,,,,
South Carolina,27740,,,,,,,,,,,,,
Aitkin,820,,,,,,,,,,,,,
Minnesota,820,,,,,,,,,,,,,
Alachua,75184,,,,,,,,,,,,,
Florida,75184,,,,,,,,,,,,,
Alamance,58563,,,,,,,,,,,,,
North Carolina,58563,,,,,,,,,,,,,
Alameda,399321,,,,,,,,,,,,,
California,399321,,,,,,,,,,,,,
Alamosa,9506,,,,,,,,,,,,,
Colorado,9506,,,,,,,,,,,,,
Albany,175552,,,,,,,,,,,,,
New York,173224,,,,,,,,,,,,,
Wyoming,2328,,,,,,,,,,,,,
Albemarle,25285,,,,,,,,,,,,,
Virginia,25285,,,,,,,,,,,,,
Alcona,1371,,,,,,,,,,,,,
Michigan,1371,,,,,,,,,,,,,
Alcorn,3545,,,,,,,,,,,,,
Mississippi,3545,,,,,,,,,,,,,
Aleutians East Borough,78,,,,,,,,,,,,,
